address,latitude,longitude,number_of_raids,proportion_no_action,raid_dates_and_resolutions
147-02 LIBERTY AVENUE Queens,40.69611043,-73.803798,2,0.5,"[('2014-09-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-04-02', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED')]"
1472 OGDEN AVENUE Bronx,40.84403083,-73.92340376,5,0.0,"[('2014-11-22', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2014-03-16', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-03-16', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2017-01-28', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-10-31', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
1476 JEROME AVENUE Bronx,40.84158065,-73.91629837,1,1.0,"[('2013-01-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
148-33 HILLSIDE AVENUE Queens,40.70654624,-73.80793028,1,1.0,"[('2013-08-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1485 MYRTLE AVENUE Brooklyn,40.69925829,-73.91632504,1,1.0,"[('2015-05-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
149 2 AVENUE Manhattan,40.72954417,-73.98743623,3,1.0,"[('2013-03-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-08-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-12-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
149 7 AVENUE Brooklyn,40.67251729,-73.97652078,1,1.0,"[('2014-03-22', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
149 7 STREET Brooklyn,40.67372988,-73.99167592,1,1.0,"[('2014-03-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
149-05 UNION TURNPIKE Queens,40.71892709,-73.81363034,3,0.6666666666666666,"[('2014-08-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-02-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-09-16', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
149-15 JAMAICA AVENUE Queens,40.70224614,-73.80514956,1,0.0,"[('2017-02-18', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
149-23 JAMAICA AVENUE Queens,40.70226458,-73.80486061,3,1.0,"[('2017-02-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-11-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-04-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1495 DEKALB AVENUE Brooklyn,40.701774,-73.92207255,4,0.5,"[('2015-10-24', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-05-09', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-09-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-01-24', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
15 1 AVENUE Manhattan,40.72354432,-73.98861537,2,0.5,"[('2013-12-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-08-18', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
15 CORSON AVENUE Staten Island,40.63836095,-74.07945805,1,1.0,"[('2014-10-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
15 EAST 15 STREET Manhattan,40.73637024,-73.99208067,1,1.0,"[('2014-11-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
15 PUTNAM AVENUE Brooklyn,40.68286994,-73.96201277,1,0.0,"[('2012-12-21', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
15 WEST 183 STREET Bronx,40.85881823,-73.90454165,1,0.0,"[('2012-12-08', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
150 VARICK STREET Manhattan,40.72601441,-74.00531978,3,0.6666666666666666,"[('2014-02-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-09-29', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-11-10', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED')]"
1506 ST NICHOLAS AVENUE Manhattan,40.85185948,-73.93146913,2,0.5,"[('2016-10-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2017-06-17', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
1508 SAINT NICHOLAS AVENUE Manhattan,40.85185948,-73.93146913,1,1.0,"[('2012-06-30', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
151 AVENUE C Manhattan,40.72565749,-73.97803752,1,0.0,"[('2017-02-27', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
151 DYCKMAN STREET Manhattan,40.86345304,-73.92553514,3,0.3333333333333333,"[('2016-08-13', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-05-10', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-01-12', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
1511 WHITE PLAINS ROAD Bronx,40.83806165,-73.86391839,2,1.0,"[('2012-07-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-01-26', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1513 MYRTLE AVENUE Brooklyn,40.69928594,-73.9152271,1,1.0,"[('2014-01-24', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1518 MACOMBS ROAD Bronx,40.84346924,-73.91720202,5,0.8,"[('2015-10-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-12-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-11-22', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-07-20', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2013-01-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
152 ORCHARD STREET Manhattan,40.72071737,-73.98864004,2,0.5,"[('2013-02-15', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2012-08-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
152-34 ROCKAWAY BOULEVARD Queens,40.67152749,-73.78503053,2,0.0,"[('2012-10-28', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2012-10-28', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
153 LENOX AVENUE Manhattan,40.80330824,-73.94919961,1,1.0,"[('2016-04-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
153-33 HILLSIDE AVENUE Queens,40.70785486,-73.80321882,2,1.0,"[('2015-02-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-12-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1530 UNIVERSITY AVENUE Bronx,40.84579918,-73.92145412,2,1.0,"[('2016-01-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-07-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1536 MYRTLE AVENUE Brooklyn,40.69924274,-73.91202067,1,1.0,"[('2017-05-19', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1536 RALPH AVENUE Brooklyn,40.63943049,-73.91971997,1,1.0,"[('2012-06-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1538 WEBSTER AVENUE Bronx,40.83947416,-73.9051973,3,0.3333333333333333,"[('2016-04-29', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-11-21', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2013-08-10', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
154 EAST 112 STREET Manhattan,40.79570969,-73.94323735,2,0.5,"[('2013-03-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-10-07', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
154 MANSION AVENUE Staten Island,40.54399667,-74.1406713,1,1.0,"[('2012-08-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
154 POST AVENUE Manhattan,40.86536306,-73.91885794,4,1.0,"[('2014-07-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-01-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-02-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-01-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1541 MYRTLE AVENUE Brooklyn,40.69948633,-73.91378004,2,1.0,"[('2015-10-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-05-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
155 RIVINGTON STREET Manhattan,40.71903694,-73.98564007,1,1.0,"[('2012-08-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
155 VARICK STREET Manhattan,40.72618656,-74.00603797,1,0.0,"[('2012-09-29', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
1552 MYRTLE AVENUE Brooklyn,40.69934134,-73.91158029,3,0.0,"[('2015-09-22', 'STOP WORK ORDER FULLY RESCINDED N'), ('2013-09-20', 'STOP WORK ORDER FULLY RESCINDED N'), ('2013-09-20', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
1556 RALPH AVENUE Brooklyn,40.63851149,-73.91962313,2,0.5,"[('2012-06-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-03-26', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
158 LUDLOW STREET Manhattan,40.72093887,-73.98765584,1,1.0,"[('2014-09-19', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
158 NORMAN AVENUE Brooklyn,40.7264655,-73.94799418,2,1.0,"[('2014-02-22', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-02-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1583 2 AVENUE Manhattan,40.77548153,-73.95379688,1,1.0,"[('2013-03-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1584 2 AVENUE Manhattan,40.77525758,-73.95324542,1,1.0,"[('2012-09-22', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
159 EAST HOUSTON STREET Manhattan,40.72273951,-73.98908624,4,0.0,"[('2013-10-04', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2013-10-04', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2013-05-03', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2013-05-03', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
1590 WESTCHESTER AVENUE Bronx,40.82888553,-73.87571257,2,0.0,"[('2014-01-03', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2014-01-03', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
1591 2 AVENUE Manhattan,40.77576979,-73.95368599,2,0.0,"[('2013-03-15', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2013-03-15', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
16 1 AVENUE Manhattan,40.72338263,-73.98797277,2,1.0,"[('2014-04-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-12-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
16-11 CENTRAL AVENUE Queens,40.60486112,-73.75196055,1,1.0,"[('2013-04-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
16-33 WOODBINE STREET Queens,40.69988534,-73.90974292,1,0.0,"[('2015-10-16', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
160 PRINCE STREET Manhattan,40.72590052,-74.00150534,1,1.0,"[('2013-02-22', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
160 SCOTT AVENUE Brooklyn,40.712384899999996,-73.92279586,1,1.0,"[('2013-12-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1609 NOSTRAND AVENUE Brooklyn,40.64677979,-73.94882335,1,0.0,"[('2014-01-17', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
161 LUDLOW STREET Manhattan,40.72145095,-73.98789211,3,0.6666666666666666,"[('2013-05-31', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-10-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-03-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1616 CASTLETON AVENUE Staten Island,40.6358726,-74.13714643,2,0.0,"[('2014-08-15', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-08-15', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
162 EAST 102 STREET Manhattan,40.78925286,-73.94770596,1,1.0,"[('2016-04-22', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1625 EAST 233 STREET Bronx,40.88901736,-73.82827769,1,1.0,"[('2013-11-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
163 DONGAN STREET Staten Island,40.63375993,-74.12393728,1,1.0,"[('2012-08-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1634 NOSTRAND AVENUE Brooklyn,40.64615070000001,-73.94939642,1,1.0,"[('2014-01-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1641 2 AVENUE Manhattan,40.77740946,-73.95244004,1,1.0,"[('2012-09-22', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1647 PACIFIC STREET Brooklyn,40.67710193,-73.93605636,6,0.8333333333333334,"[('2015-01-24', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-06-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-10-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-09-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-10-02', 'COMPLAINT UNSUBSTANTIATED BASED ON DEPARTMENT RECORDS'), ('2015-01-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
165 LUDLOW STREET Manhattan,40.72158705,-73.98784671,1,0.0,"[('2012-08-11', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
165 WEST 26 STREET Manhattan,40.74595819,-73.99358243,2,0.0,"[('2012-12-02', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2012-12-02', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
1650 3 AVENUE Manhattan,40.782985100000005,-73.95134345,1,1.0,"[('2013-03-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
166 NORTH 7 STREET Brooklyn,40.71760101,-73.95760385,1,1.0,"[('2013-09-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
167-02 BAISLEY BOULEVARD Queens,40.67965443,-73.77592757,2,0.5,"[('2013-03-23', 'ADMINISTRATIVE CLOSURE NN'), ('2015-02-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1674 RICHMOND ROAD Staten Island,40.58887486,-74.10148201,1,1.0,"[('2014-03-29', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1679 HYLAN BOULEVARD Staten Island,40.58786006,-74.09129512,1,1.0,"[('2015-08-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
168-02 HILLSIDE AVENUE Queens,40.709900299999994,-73.7943557,3,1.0,"[('2013-01-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-06-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-09-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1683 MADISON STREET Queens,40.70084574,-73.90767743,1,1.0,"[('2014-04-05', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
169 EAST BROADWAY Manhattan,40.71384759,-73.98975572,5,0.2,"[('2015-10-09', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-10-09', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2016-05-22', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-10-09', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-10-09', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
1693 AMSTERDAM AVENUE Manhattan,40.82428721,-73.94803144,1,0.0,"[('2017-03-11', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
17 EAST TREMONT AVENUE Bronx,40.85160409,-73.90837734,1,1.0,"[('2016-01-30', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
17 WILLIAMS AVENUE Brooklyn,40.67610938,-73.90049168,5,0.0,"[('2014-01-31', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2014-01-31', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2016-03-12', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-07-18', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-07-18', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
170 WEST 233 STREET Bronx,40.88002486,-73.90322393,1,1.0,"[('2014-05-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
170-03 JAMAICA AVENUE Queens,40.70747459,-73.78962445,1,1.0,"[('2013-11-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
170-13 JAMAICA AVENUE Queens,40.70754844,-73.78938899,2,0.5,"[('2012-06-09', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-04-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1702 2 AVENUE Manhattan,40.779214,-73.95036633,1,0.0,"[('2012-09-22', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
171 BROAD STREET Staten Island,40.62454679,-74.08057155,2,1.0,"[('2014-10-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-06-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1710 UNIVERSITY AVENUE Bronx,40.84831581,-73.91778647,1,0.0,"[('2014-05-11', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
1712 UNIVERSITY AVENUE Bronx,40.84831581,-73.91778647,1,1.0,"[('2012-09-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
172 EAST 106 STREET Manhattan,40.79156517,-73.94540238,7,0.0,"[('2016-04-23', 'ADMINISTRATIVE CLOSURE NN'), ('2013-03-03', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2014-03-07', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2014-03-07', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2016-04-23', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-04-23', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-04-23', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
172-11 HILLSIDE AVENUE Queens,40.71225172,-73.78976819,2,1.0,"[('2015-02-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-02-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
172-32 JAMAICA AVENUE Queens,40.70760986,-73.78683786,2,0.5,"[('2013-11-08', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-01-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
172-37 HILLSIDE AVENUE Queens,40.71236798,-73.78920336,4,0.75,"[('2012-09-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-08-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-03-01', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2014-08-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1729 CROSBY AVENUE Bronx,40.846063799999996,-73.83194257,1,1.0,"[('2015-06-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
173-06 JAMAICA AVENUE Queens,40.70769755,-73.78638316,1,1.0,"[('2017-02-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
173-12 JAMAICA AVENUE Queens,40.70768802,-73.78615326,1,1.0,"[('2013-04-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1734 NOSTRAND AVENUE Brooklyn,40.64372293,-73.94913096,2,0.5,"[('2013-05-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-02-15', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
1735 EAST 172 STREET Bronx,40.83273218,-73.86978119,1,1.0,"[('2014-01-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
174 AUDOBON AVENUE Manhattan,40.84410005,-73.93600291,1,1.0,"[('2013-04-26', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
174 AUDUBON AVENUE Manhattan,40.84410005,-73.93600291,1,1.0,"[('2014-05-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
174 BEDFORD AVENUE Brooklyn,40.71816803,-73.95768015,3,0.0,"[('2017-03-31', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-02-21', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-02-22', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
174 BROADWAY Manhattan,40.7097974,-74.00972802,1,1.0,"[('2013-11-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
174 ORCHARD STREET Manhattan,40.72154413,-73.98819995,1,1.0,"[('2017-06-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
174 PORT RICHMOND AVENUE Staten Island,40.63696470000001,-74.1345966,3,0.3333333333333333,"[('2013-12-08', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2014-08-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-08-17', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED')]"
1744 NOSTRAND AVENUE Brooklyn,40.64346524,-73.94906684,8,0.125,"[('2014-05-22', 'ADMINISTRATIVE CLOSURE NN'), ('2016-06-05', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2016-06-05', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2014-05-17', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2016-06-05', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2016-06-05', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2014-05-17', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2017-04-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
175 WEST 90 STREET Manhattan,40.790397999999996,-73.97251092,1,1.0,"[('2012-06-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1757 ARTHUR KILL ROAD Staten Island,40.5597337,-74.19729995,1,1.0,"[('2015-08-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1759 LEXINGTON AVENUE Manhattan,40.79430455,-73.94457492,3,1.0,"[('2014-03-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-10-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-03-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
176 AUDUBON AVENUE Manhattan,40.84410005,-73.93600291,1,1.0,"[('2012-12-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1765 NOSTRAND AVENUE Brooklyn,40.64272065,-73.94838223,2,1.0,"[('2014-05-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-05-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1770 EAST GUN HILL ROAD Bronx,40.86346569,-73.8348873,1,1.0,"[('2014-04-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1773 NOSTRAND AVENUE Brooklyn,40.64255785,-73.94836496,2,1.0,"[('2014-01-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-05-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1780 AMSTERDAM AVENUE Manhattan,40.82738733,-73.94643068,2,0.0,"[('2014-10-04', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2014-10-04', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED')]"
179-22 UNION TURNPIKE Queens,40.72654647,-73.78839837,4,0.75,"[('2015-02-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-08-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-08-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-12-16', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
1793 JEROME AVENUE Bronx,40.84923884,-73.91165232,1,0.0,"[('2014-05-10', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
18 SPRING STREET Manhattan,40.72126744,-73.99503107,1,1.0,"[('2015-08-22', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
18-23 MOTT AVENUE Queens,40.60283543,-73.75069242,1,1.0,"[('2013-04-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
180-25 LINDEN BOULEVARD Queens,40.69233251,-73.76566595,1,1.0,"[('2017-05-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1805 CARTER AVENUE Bronx,40.84610697,-73.90298264,5,0.0,"[('2015-06-21', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-01-31', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-01-31', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-01-31', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-01-31', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
1806 CEDAR AVENUE Bronx,40.85247932,-73.92016208,1,1.0,"[('2015-06-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1808 HONE AVENUE Bronx,40.84911049,-73.85471240000001,1,0.0,"[('2013-08-17', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
181 EAST 108 STREET Manhattan,40.79327941,-73.94408973,1,1.0,"[('2012-10-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
181-34 UNION TURNPIKE Queens,40.72716569,-73.7864794,1,1.0,"[('2014-03-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1819 PALMETTO STREET Queens,40.70337522,-73.90746964,1,0.0,"[('2014-04-06', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
