address,borough_name,borough_abbrev,bin_number,block,lot,inspection_date,access_1,ecb_violation_number,dob_violation_number,longitude,latitude,fl_bin,number_calls,preceding_month,preceding_year,proportion_last_year_resolved,specific_datafile,full_address
135-06 LIBERTY AVENUE,Queens,QN,4439351,9589.0,1.0,2015-03-21,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,,,-73.81149447,40.69141965,4439351.0,8,0,2,0,cases/135-06 LIBERTY AVENUE_QUEENS_2015-03-21T00:00:00.csv,135-06 LIBERTY AVENUEQueens
1350 JEROME AVENUE,Bronx,BX,2092055,2841.0,1.0,2013-05-04,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35015309H,050413CNEMR02,-73.91796336,40.83897693,2092055.0,7,0,1,0,cases/1350 JEROME AVENUE_BRONX_2013-05-04T00:00:00.csv,1350 JEROME AVENUEBronx
1350 JEROME AVENUE,Bronx,BX,2092055,2841.0,1.0,2012-06-01,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91796336,40.83897693,2092055.0,7,0,0,0,,1350 JEROME AVENUEBronx
1350 SHAKESPEARE AVENUE,Bronx,BX,2003332,2520.0,1.0,2014-07-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92204009999999,40.84053704,2003332.0,445,0,14,0,cases/1350 SHAKESPEARE AVENUE_BRONX_2014-07-18T00:00:00.csv,1350 SHAKESPEARE AVENUEBronx
1353 E L GRANT HIGHWAY,Bronx,BX,2003102,2506.0,129.0,2016-05-08,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35180553Z,050816PANEMR03,-73.92170051,40.84014676,2003102.0,1,0,0,0,cases/1353 E L GRANT HIGHWAY_BRONX_2016-05-08T00:00:00.csv,1353 E L GRANT HIGHWAYBronx
1353 E L GRANT HIGHWAY,Bronx,BX,2003102,2506.0,129.0,2015-05-09,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35126818H,050815CNEMR03,-73.92170051,40.84014676,2003102.0,1,0,0,0,cases/1353 E L GRANT HIGHWAY_BRONX_2015-05-09T00:00:00.csv,1353 E L GRANT HIGHWAYBronx
1353 E L GRANT HIGHWAY,Bronx,BX,2003102,2506.0,129.0,2015-05-09,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35126817X,050815CNTZ02,-73.92170051,40.84014676,2003102.0,1,0,0,0,cases/1353 E L GRANT HIGHWAY_BRONX_2015-05-09T00:00:00.csv,1353 E L GRANT HIGHWAYBronx
1353 E L GRANT HIGHWAY,Bronx,BX,2003102,2506.0,129.0,2015-05-09,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35126817X,050815CNEMR03,-73.92170051,40.84014676,2003102.0,1,0,0,0,cases/1353 E L GRANT HIGHWAY_BRONX_2015-05-09T00:00:00.csv,1353 E L GRANT HIGHWAYBronx
1353 E L GRANT HIGHWAY,Bronx,BX,2003102,2506.0,129.0,2015-05-09,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35126817X,050815CNEMR02,-73.92170051,40.84014676,2003102.0,1,0,0,0,cases/1353 E L GRANT HIGHWAY_BRONX_2015-05-09T00:00:00.csv,1353 E L GRANT HIGHWAYBronx
1353 E L GRANT HIGHWAY,Bronx,BX,2003102,2506.0,129.0,2015-05-09,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35127124H,050815CNEMR03,-73.92170051,40.84014676,2003102.0,1,0,0,0,cases/1353 E L GRANT HIGHWAY_BRONX_2015-05-09T00:00:00.csv,1353 E L GRANT HIGHWAYBronx
1353 E L GRANT HIGHWAY,Bronx,BX,2003102,2506.0,129.0,2016-02-07,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35168527N,020716CNEJM01,-73.92170051,40.84014676,2003102.0,1,0,0,0,cases/1353 E L GRANT HIGHWAY_BRONX_2016-02-07T00:00:00.csv,1353 E L GRANT HIGHWAYBronx
1353 E L GRANT HIGHWAY,Bronx,BX,2003102,2506.0,129.0,2015-05-09,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35126818H,050815CNEMR02,-73.92170051,40.84014676,2003102.0,1,0,0,0,cases/1353 E L GRANT HIGHWAY_BRONX_2015-05-09T00:00:00.csv,1353 E L GRANT HIGHWAYBronx
1353 E L GRANT HIGHWAY,Bronx,BX,2003102,2506.0,129.0,2015-05-09,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35127124H,050815CNEMR02,-73.92170051,40.84014676,2003102.0,1,0,0,0,cases/1353 E L GRANT HIGHWAY_BRONX_2015-05-09T00:00:00.csv,1353 E L GRANT HIGHWAYBronx
1353 E L GRANT HIGHWAY,Bronx,BX,2003102,2506.0,129.0,2015-05-09,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35126818H,050815CNTZ02,-73.92170051,40.84014676,2003102.0,1,0,0,0,cases/1353 E L GRANT HIGHWAY_BRONX_2015-05-09T00:00:00.csv,1353 E L GRANT HIGHWAYBronx
1353 E L GRANT HIGHWAY,Bronx,BX,2003102,2506.0,129.0,2015-05-09,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35127124H,050815CNTZ02,-73.92170051,40.84014676,2003102.0,1,0,0,0,cases/1353 E L GRANT HIGHWAY_BRONX_2015-05-09T00:00:00.csv,1353 E L GRANT HIGHWAYBronx
1353 EDWARD L GRANT HIGHWAY,Bronx,BX,2003102,2506.0,129.0,2015-10-31,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92170051,40.84014676,2003102.0,10,0,2,0,cases/1353 EDWARD L GRANT HIGHWAY_BRONX_2015-10-31T00:00:00.csv,1353 EDWARD L GRANT HIGHWAYBronx
1353 EDWARD L GRANT HIGHWAY,Bronx,BX,2003102,2506.0,129.0,2012-10-06,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34951749R,100612PAERFC01,-73.92170051,40.84014676,2003102.0,10,0,0,0,cases/1353 EDWARD L GRANT HIGHWAY_BRONX_2012-10-06T00:00:00.csv,1353 EDWARD L GRANT HIGHWAYBronx
136-59 37 AVENUE,Queens,QN,4112365,4977.0,82.0,2016-01-17,MARCH: NO PA PERMIT/ECB NOV ISSUED,35168644M,011716PANEMR02,-73.82901782,40.76229234,4112365.0,41,0,12,3,cases/136-59 37 AVENUE_QUEENS_2016-01-17T00:00:00.csv,136-59 37 AVENUEQueens
137 SCHENECTADY AVENUE,Brooklyn,BK,3324618,1354.0,1.0,2017-06-02,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35245336R,"060217CERJM01, 02",-73.93307059,40.67440798,3324618.0,12,0,0,0,cases/137 SCHENECTADY AVENUE_BROOKLYN_2017-06-02T00:00:00.csv,137 SCHENECTADY AVENUEBrooklyn
137 SCHENECTADY AVENUE,Brooklyn,BK,3324618,1354.0,1.0,2017-02-26,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35219222J,022617CNESC01,-73.93307059,40.67440798,3324618.0,12,0,1,0,cases/137 SCHENECTADY AVENUE_BROOKLYN_2017-02-26T00:00:00.csv,137 SCHENECTADY AVENUEBrooklyn
137 SCHENECTADY AVENUE,Brooklyn,BK,3324618,1354.0,1.0,2016-12-11,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93307059,40.67440798,3324618.0,12,0,1,0,cases/137 SCHENECTADY AVENUE_BROOKLYN_2016-12-11T00:00:00.csv,137 SCHENECTADY AVENUEBrooklyn
137 SCHENECTADY AVENUE,Brooklyn,BK,3324618,1354.0,1.0,2017-06-02,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35245337Z,"060217CERJM01, 02",-73.93307059,40.67440798,3324618.0,12,0,0,0,cases/137 SCHENECTADY AVENUE_BROOKLYN_2017-06-02T00:00:00.csv,137 SCHENECTADY AVENUEBrooklyn
1370 ROCKAWAY PARKWAY,Brooklyn,BK,3229392,8165.0,67.0,2017-01-27,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.90378471,40.64613428,3229392.0,168,5,83,0,cases/1370 ROCKAWAY PARKWAY_BROOKLYN_2017-01-27T00:00:00.csv,1370 ROCKAWAY PARKWAYBrooklyn
1373 FLATBUSH AVENUE,Brooklyn,BK,3120857,5227.0,5.0,2012-06-30,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95225859,40.63755797,3120857.0,8,0,0,0,cases/1373 FLATBUSH AVENUE_BROOKLYN_2012-06-30T00:00:00.csv,1373 FLATBUSH AVENUEBrooklyn
1378 BRONX RIVER AVENUE,Bronx,BX,2027434,3863.0,33.0,2014-06-21,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.87968101,40.83335458,2027434.0,0,0,0,0,,1378 BRONX RIVER AVENUEBronx
138 LUDLOW STREET,Manhattan,MN,1005369,411.0,42.0,2017-06-03,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98793112,40.72039555,1005369.0,78,1,21,1,cases/138 LUDLOW STREET_MANHATTAN_2017-06-03T00:00:00.csv,138 LUDLOW STREETManhattan
138 WEST 25 STREET,Manhattan,MN,1014991,800.0,61.0,2014-01-19,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.99363775,40.74471125,1014991.0,23,0,7,0,cases/138 WEST 25 STREET_MANHATTAN_2014-01-19T00:00:00.csv,138 WEST 25 STREETManhattan
138 WEST 29 STREET,Manhattan,MN,1015129,804.0,59.0,2015-12-06,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35161134K,120615CNETZ01,-73.99178469,40.74713594,1015129.0,62,6,20,0,cases/138 WEST 29 STREET_MANHATTAN_2015-12-06T00:00:00.csv,138 WEST 29 STREETManhattan
138-11 JAMAICA AVENUE,Queens,QN,4206305,9619.0,35.0,2014-04-11,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.81491467,40.70270134,4206305.0,16,0,2,0,cases/138-11 JAMAICA AVENUE_QUEENS_2014-04-11T00:00:00.csv,138-11 JAMAICA AVENUEQueens
1388 EDWARD L GRANT HIGHWAY,Bronx,BX,2008724,2873.0,8.0,2012-10-06,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92204725,40.84188119,2008724.0,20,0,0,0,cases/1388 EDWARD L GRANT HIGHWAY_BRONX_2012-10-06T00:00:00.csv,1388 EDWARD L GRANT HIGHWAYBronx
139-31 JAMAICA AVENUE,Queens,QN,4206670,9673.0,22.0,2012-06-09,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34955439J,,,,4206670.0,8,0,0,0,cases/139-31 JAMAICA AVENUE_QUEENS_2012-06-09T00:00:00.csv,139-31 JAMAICA AVENUEQueens
139-31 JAMAICA AVENUE,Queens,QN,4206670,9673.0,21.0,2014-09-14,MARCH: NO PA PERMIT/ECB NOV ISSUED,35103391X,091414PANER01,-73.81193354,40.70254229,4206670.0,8,0,0,0,cases/139-31 JAMAICA AVENUE_QUEENS_2014-09-14T00:00:00.csv,139-31 JAMAICA AVENUEQueens
139-37 JAMAICA AVENUE,Queens,QN,4206667,9673.0,19.0,2016-04-03,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.81177472,40.70251944,4206667.0,18,0,1,0,cases/139-37 JAMAICA AVENUE_QUEENS_2016-04-03T00:00:00.csv,139-37 JAMAICA AVENUEQueens
139-37 JAMAICA AVENUE,Queens,QN,4206667,9673.0,19.0,2014-04-11,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.81177472,40.70251944,4206667.0,18,0,2,0,cases/139-37 JAMAICA AVENUE_QUEENS_2014-04-11T00:00:00.csv,139-37 JAMAICA AVENUEQueens
139-37 JAMAICA AVENUE,Queens,QN,4206667,9673.0,19.0,2015-06-26,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.81177472,40.70251944,4206667.0,18,0,1,0,cases/139-37 JAMAICA AVENUE_QUEENS_2015-06-26T00:00:00.csv,139-37 JAMAICA AVENUEQueens
14 AVENUE A,Manhattan,MN,1083434,397.0,6.0,2013-05-23,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.9857489,40.72252745,1083434.0,255,1,43,0,cases/14 AVENUE A_MANHATTAN_2013-05-23T00:00:00.csv,14 AVENUE AManhattan
14 EAST 23 STREET,Manhattan,MN,1016302,851.0,62.0,2017-06-10,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED,35245339M,061017CNEMT02,-73.98839403,40.74073176,1016302.0,34,1,4,1,cases/14 EAST 23 STREET_MANHATTAN_2017-06-10T00:00:00.csv,14 EAST 23 STREETManhattan
14 EAST 23 STREET,Manhattan,MN,1016302,851.0,62.0,2017-06-10,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED,35245339M,061017PAERJM01,-73.98839403,40.74073176,1016302.0,34,1,4,1,cases/14 EAST 23 STREET_MANHATTAN_2017-06-10T00:00:00.csv,14 EAST 23 STREETManhattan
14 EAST 23 STREET,Manhattan,MN,1016302,851.0,62.0,2017-06-10,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED,35245280R,061017CNEMT02,-73.98839403,40.74073176,1016302.0,34,1,4,1,cases/14 EAST 23 STREET_MANHATTAN_2017-06-10T00:00:00.csv,14 EAST 23 STREETManhattan
14 EAST 23 STREET,Manhattan,MN,1016302,851.0,62.0,2017-06-10,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED,35245280R,061017PAERJM01,-73.98839403,40.74073176,1016302.0,34,1,4,1,cases/14 EAST 23 STREET_MANHATTAN_2017-06-10T00:00:00.csv,14 EAST 23 STREETManhattan
14 JEFFERSON STREET,Brooklyn,BK,3072173,3170.0,16.0,2014-09-28,MARCH: NO PA PERMIT/ECB NOV & FULL VACATE ISSUED F,35111128Z,092814CBETZ02,-73.93462732,40.69741852,3072173.0,8,0,0,0,cases/14 JEFFERSON STREET_BROOKLYN_2014-09-28T00:00:00.csv,14 JEFFERSON STREETBrooklyn
14-25 CENTRAL AVENUE,Queens,QN,4298040,15544.0,31.0,2013-04-19,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.75072418,40.60587811,4298040.0,6,0,0,0,cases/14-25 CENTRAL AVENUE_QUEENS_2013-04-19T00:00:00.csv,14-25 CENTRAL AVENUEQueens
14-25 CENTRAL AVENUE,Queens,QN,4298040,15544.0,31.0,2012-06-16,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.75072418,40.60587811,4298040.0,6,0,1,1,cases/14-25 CENTRAL AVENUE_QUEENS_2012-06-16T00:00:00.csv,14-25 CENTRAL AVENUEQueens
140 GRAHAM AVENUE,Brooklyn,BK,3071289,3071.0,5.0,2015-03-28,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.94270985,40.70630676,3071289.0,216,4,35,0,cases/140 GRAHAM AVENUE_BROOKLYN_2015-03-28T00:00:00.csv,140 GRAHAM AVENUEBrooklyn
140 GRAHAM AVENUE,Brooklyn,BK,3071289,3071.0,5.0,2014-08-10,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.94270985,40.70630676,3071289.0,216,2,19,0,cases/140 GRAHAM AVENUE_BROOKLYN_2014-08-10T00:00:00.csv,140 GRAHAM AVENUEBrooklyn
140 GRAHAM AVENUE,Brooklyn,BK,3071289,3071.0,5.0,2014-11-23,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED,35111388P,112314CNEMR01,-73.94270985,40.70630676,3071289.0,216,6,33,0,cases/140 GRAHAM AVENUE_BROOKLYN_2014-11-23T00:00:00.csv,140 GRAHAM AVENUEBrooklyn
140 GRAHAM AVENUE,Brooklyn,BK,3071289,3071.0,5.0,2013-09-13,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.94270985,40.70630676,3071289.0,216,0,9,0,cases/140 GRAHAM AVENUE_BROOKLYN_2013-09-13T00:00:00.csv,140 GRAHAM AVENUEBrooklyn
1400 5 AVENUE,Manhattan,MN,1086518,1599.0,7501.0,2012-08-25,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34985210Z,0825122012CNETZ01,-73.94736142,40.80053432,1086518.0,146,0,33,0,cases/1400 5 AVENUE_MANHATTAN_2012-08-25T00:00:00.csv,1400 5 AVENUEManhattan
1400 5 AVENUE,Manhattan,MN,1086518,1599.0,7501.0,2012-06-24,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.94736142,40.80053432,1086518.0,146,3,34,0,cases/1400 5 AVENUE_MANHATTAN_2012-06-24T00:00:00.csv,1400 5 AVENUEManhattan
1400 5 AVENUE,Manhattan,MN,1086518,1599.0,7501.0,2013-01-05,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.94736142,40.80053432,1086518.0,146,1,39,0,cases/1400 5 AVENUE_MANHATTAN_2013-01-05T00:00:00.csv,1400 5 AVENUEManhattan
1401 BEDFORD AVENUE,Brooklyn,BK,3030920,1225.0,8.0,2016-12-10,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35213315L,121016CERFC02,-73.95320531,40.67515354,3030920.0,21,0,2,0,cases/1401 BEDFORD AVENUE_BROOKLYN_2016-12-10T00:00:00.csv,1401 BEDFORD AVENUEBrooklyn
1403 2 AVENUE,Manhattan,MN,1043993,1428.0,21.0,2012-09-22,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95806483,40.76969854,1043993.0,121,1,5,0,cases/1403 2 AVENUE_MANHATTAN_2012-09-22T00:00:00.csv,1403 2 AVENUEManhattan
1404 OGDEN AVENUE,Bronx,BX,2003382,2522.0,57.0,2016-05-08,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35168968Z,050816CNEMR03,-73.92376621,40.8424706,2003382.0,27,0,11,0,cases/1404 OGDEN AVENUE_BRONX_2016-05-08T00:00:00.csv,1404 OGDEN AVENUEBronx
1404 OGDEN AVENUE,Bronx,BX,2003382,2522.0,57.0,2016-05-08,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35168968Z,050816CNEMR04,-73.92376621,40.8424706,2003382.0,27,0,11,0,cases/1404 OGDEN AVENUE_BRONX_2016-05-08T00:00:00.csv,1404 OGDEN AVENUEBronx
1404 OGDEN AVENUE,Bronx,BX,2003382,2522.0,57.0,2016-05-08,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35168968Z,050816CNEMR02,-73.92376621,40.8424706,2003382.0,27,0,11,0,cases/1404 OGDEN AVENUE_BRONX_2016-05-08T00:00:00.csv,1404 OGDEN AVENUEBronx
1404 OGDEN AVENUE,Bronx,BX,2003382,2522.0,57.0,2016-05-08,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35168967R,050816CNEMR04,-73.92376621,40.8424706,2003382.0,27,0,11,0,cases/1404 OGDEN AVENUE_BRONX_2016-05-08T00:00:00.csv,1404 OGDEN AVENUEBronx
1404 OGDEN AVENUE,Bronx,BX,2003382,2522.0,57.0,2014-11-22,MARCH: NO PA PERMIT/ECB NOV ISSUED,35111869X,112214PAERDM01,-73.92376621,40.8424706,2003382.0,27,0,2,0,cases/1404 OGDEN AVENUE_BRONX_2014-11-22T00:00:00.csv,1404 OGDEN AVENUEBronx
1404 OGDEN AVENUE,Bronx,BX,2003382,2522.0,57.0,2016-05-08,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35180554K,050816CNEMR02,-73.92376621,40.8424706,2003382.0,27,0,11,0,cases/1404 OGDEN AVENUE_BRONX_2016-05-08T00:00:00.csv,1404 OGDEN AVENUEBronx
1404 OGDEN AVENUE,Bronx,BX,2003382,2522.0,57.0,2015-10-31,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35161299Z,133115PAERDM02,-73.92376621,40.8424706,2003382.0,27,1,3,0,cases/1404 OGDEN AVENUE_BRONX_2015-10-31T00:00:00.csv,1404 OGDEN AVENUEBronx
1404 OGDEN AVENUE,Bronx,BX,2003382,2522.0,57.0,2016-05-08,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35180554K,050816CNEMR03,-73.92376621,40.8424706,2003382.0,27,0,11,0,cases/1404 OGDEN AVENUE_BRONX_2016-05-08T00:00:00.csv,1404 OGDEN AVENUEBronx
1404 OGDEN AVENUE,Bronx,BX,2003382,2522.0,57.0,2013-08-17,MARCH: NO PA PERMIT/ECB NOV ISSUED,35025449Z,,-73.92376621,40.8424706,2003382.0,27,0,2,0,cases/1404 OGDEN AVENUE_BRONX_2013-08-17T00:00:00.csv,1404 OGDEN AVENUEBronx
1404 OGDEN AVENUE,Bronx,BX,2003382,2522.0,57.0,2015-05-09,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35126819J,050915CONEMR01,-73.92376621,40.8424706,2003382.0,27,0,2,0,cases/1404 OGDEN AVENUE_BRONX_2015-05-09T00:00:00.csv,1404 OGDEN AVENUEBronx
1404 OGDEN AVENUE,Bronx,BX,2003382,2522.0,57.0,2016-05-08,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35168967R,050816CNEMR03,-73.92376621,40.8424706,2003382.0,27,0,11,0,cases/1404 OGDEN AVENUE_BRONX_2016-05-08T00:00:00.csv,1404 OGDEN AVENUEBronx
1404 OGDEN AVENUE,Bronx,BX,2003382,2522.0,57.0,2016-05-08,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35180554K,050816CNEMR04,-73.92376621,40.8424706,2003382.0,27,0,11,0,cases/1404 OGDEN AVENUE_BRONX_2016-05-08T00:00:00.csv,1404 OGDEN AVENUEBronx
1404 OGDEN AVENUE,Bronx,BX,2003382,2522.0,57.0,2016-05-08,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35168967R,050816CNEMR02,-73.92376621,40.8424706,2003382.0,27,0,11,0,cases/1404 OGDEN AVENUE_BRONX_2016-05-08T00:00:00.csv,1404 OGDEN AVENUEBronx
141 EAST 149 STREET,Bronx,BX,2001040,2347.0,1.0,2012-10-06,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92802166,40.81900985,2001040.0,8,0,0,0,cases/141 EAST 149 STREET_BRONX_2012-10-06T00:00:00.csv,141 EAST 149 STREETBronx
141 EAST 149 STREET,Bronx,BX,2001040,2347.0,1.0,2013-05-03,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92802166,40.81900985,2001040.0,8,0,0,0,cases/141 EAST 149 STREET_BRONX_2013-05-03T00:00:00.csv,141 EAST 149 STREETBronx
141 EAST 149 STREET,Bronx,BX,2001040,2347.0,1.0,2014-03-16,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92802166,40.81900985,2001040.0,8,0,2,1,cases/141 EAST 149 STREET_BRONX_2014-03-16T00:00:00.csv,141 EAST 149 STREETBronx
141 EAST 149 STREET,Bronx,BX,2001040,2347.0,1.0,2012-07-20,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92802166,40.81900985,2001040.0,8,0,0,0,cases/141 EAST 149 STREET_BRONX_2012-07-20T00:00:00.csv,141 EAST 149 STREETBronx
1428 FULTON STREET,Brooklyn,BK,3053796,1863.0,10.0,2012-07-28,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,34925249L,,-73.94356053,40.67982215,3053796.0,23,0,2,0,cases/1428 FULTON STREET_BROOKLYN_2012-07-28T00:00:00.csv,1428 FULTON STREETBrooklyn
1428 FULTON STREET,Brooklyn,BK,3053796,1863.0,10.0,2013-03-10,MARCH: NO PA PERMIT/ECB NOV ISSUED,35006326P,,-73.94356053,40.67982215,3053796.0,23,1,3,0,cases/1428 FULTON STREET_BROOKLYN_2013-03-10T00:00:00.csv,1428 FULTON STREETBrooklyn
1428 FULTON STREET,Brooklyn,BK,3053796,1863.0,10.0,2012-07-28,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,34925248J,,-73.94356053,40.67982215,3053796.0,23,0,2,0,cases/1428 FULTON STREET_BROOKLYN_2012-07-28T00:00:00.csv,1428 FULTON STREETBrooklyn
1428 FULTON STREET,Brooklyn,BK,3053796,1863.0,10.0,2013-03-10,MARCH: NO PA PERMIT/ECB NOV ISSUED,35006325H,,-73.94356053,40.67982215,3053796.0,23,1,3,0,cases/1428 FULTON STREET_BROOKLYN_2013-03-10T00:00:00.csv,1428 FULTON STREETBrooklyn
143 EAST 233 STREET,Bronx,BX,2018882,3369.0,24.0,2013-05-17,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.87069694,40.89680279,2018882.0,0,0,0,0,,143 EAST 233 STREETBronx
143-06 LIBERTY AVENUE,Queens,QN,4214726,10041.0,1.0,2015-06-26,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.80934639,40.69205524,4214726.0,14,0,1,0,cases/143-06 LIBERTY AVENUE_QUEENS_2015-06-26T00:00:00.csv,143-06 LIBERTY AVENUEQueens
143-67 243 STREET,Queens,QN,4448956,13570.0,60.0,2012-07-28,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.73888559,40.66046322,4448956.0,7,0,0,0,,143-67 243 STREETQueens
144-05 JAMAICA AVENUE,Queens,QN,4534221,9674.0,49.0,2012-06-09,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.81127773,40.70240329,4534221.0,31,0,9,0,cases/144-05 JAMAICA AVENUE_QUEENS_2012-06-09T00:00:00.csv,144-05 JAMAICA AVENUEQueens
144-05 JAMAICA AVENUE,Queens,QN,4534221,9674.0,49.0,2013-11-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.81127773,40.70240329,4534221.0,31,0,1,0,cases/144-05 JAMAICA AVENUE_QUEENS_2013-11-08T00:00:00.csv,144-05 JAMAICA AVENUEQueens
144-05 JAMAICA AVENUE,Queens,QN,4534221,9674.0,49.0,2013-04-27,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.81127773,40.70240329,4534221.0,31,0,1,0,cases/144-05 JAMAICA AVENUE_QUEENS_2013-04-27T00:00:00.csv,144-05 JAMAICA AVENUEQueens
144-05 JAMAICA AVENUE,Queens,QN,4534221,9674.0,49.0,2014-04-11,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.81127773,40.70240329,4534221.0,31,3,11,0,cases/144-05 JAMAICA AVENUE_QUEENS_2014-04-11T00:00:00.csv,144-05 JAMAICA AVENUEQueens
144-07 JAMAICA AVENUE,Queens,QN,4534220,9674.0,48.0,2012-06-09,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.81119813,40.70238337,4534220.0,61,1,1,0,cases/144-07 JAMAICA AVENUE_QUEENS_2012-06-09T00:00:00.csv,144-07 JAMAICA AVENUEQueens
144-11 JAMAICA AVENUE,Queens,QN,4206706,9674.0,46.0,2013-01-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.81105721,40.70240855,4206706.0,12,0,2,0,cases/144-11 JAMAICA AVENUE_QUEENS_2013-01-18T00:00:00.csv,144-11 JAMAICA AVENUEQueens
1449 FLATBUSH AVENUE,Brooklyn,BK,3121668,5250.0,102.0,2017-04-21,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95004485,40.63544045,3121668.0,54,0,23,1,cases/1449 FLATBUSH AVENUE_BROOKLYN_2017-04-21T00:00:00.csv,1449 FLATBUSH AVENUEBrooklyn
1450 CROSBY AVENUE,Bronx,BX,2074737,5397.0,1.0,2012-07-21,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.82969288,40.8421003,2074737.0,20,1,1,0,cases/1450 CROSBY AVENUE_BRONX_2012-07-21T00:00:00.csv,1450 CROSBY AVENUEBronx
